Question,Answer 1,Answer 2,Answer 3,Answer 4,Time limit (sec),Correct answer(s)
"Pat, a catalog owner with no directory role, can't find group SG-Lab in the resource picker. Least privilege fix?",Assign Pat the Identity Governance Administrator role,Assign Pat the Groups Administrator role,Add Pat as an owner of SG-Lab,Add Pat as an access package manager of the catalog,60,3
Contoso members request with manager approval; Fabrikam users with sponsor approval. Minimum number of policies?,One,Two,Three,Four,60,2
"Two-stage approval, 5 days each. Alice approves stage 1 on day 1. Carol never acts in stage 2. What happens?","It's approved, because stage 1 already approved it",It expires (auto-denied) and the user must request again,It's forwarded to Global Administrators,"It returns to Bob, who didn't respond in stage 1",60,2
"Guest Ana joined via access package, then got a shared SharePoint site. Her only package expires (defaults). Result?","Nothing, she still has access to a SharePoint site",Her guest account is deleted immediately,"Blocked from sign-in now, removed after 30 days",Stays active until the next access review of the site,60,3
Auditors want a quarterly review of eligible and active Global Administrator assignments. Where do you create it?,Access Reviews > Teams + Groups,Privileged Identity Management,"Entitlement management, in an access package policy","Enterprise applications, on the Microsoft Graph app",60,2
"Review with auto apply and the 30-day sign-in helper. No response: inactive users lose access, active keep it. Option?",No change,Remove access,Approve access,Take recommendations,60,4
"HR-Files review, two reviewers, auto apply on. Day 2 Alice approves Dan; day 5 Bob denies Dan. What happens to Dan?","He keeps membership, because one approval is enough",He's removed as soon as Bob submits his decision,He's removed when the review ends or is stopped,It's flagged as a conflict for an admin to decide,60,3
"Helpdesk leads need User Administrator only when needed for a 6-month project, then lose it without cleanup. Assignment?","Active, permanent","Eligible, permanent","Eligible, time-bound, ending with the project","Active, time-bound, ending with the project",60,3
"Owner settings on Sub1 require approval. Kim, eligible for Owner on RG1 in Sub1, activates with no approval. Why?",Approval is supported only for Microsoft Entra roles,Subscription role settings aren't inherited by the resource group,The Owner role can't require approval in PIM,"RG1 wasn't discovered, so PIM ignores its settings",60,2
Diagnostic setting sends only AuditLogs and SignInLogs. How do you get data in AADNonInteractiveUserSignInLogs?,Add the NonInteractiveUserSignInLogs category,Upgrade the tenant from Entra ID P1 to P2,Add the ServicePrincipalSignInLogs category,Change ago(1d) to ago(30d),60,1
