Question,Answer 1,Answer 2,Answer 3,Answer 4,Time limit (sec),Correct answer(s)
Only ExecSupport may manage the CEO and CFO accounts. Even Global Admins must be blocked by default. What do you create?,A restricted management administrative unit,A regular administrative unit,A role-assignable group,PIM with approval for Helpdesk and User Admin,60,1
"Service desk resets passwords for non-admins and Helpdesk Admins, but never for User Admins. Least privilege role?",Password Administrator,Helpdesk Administrator,User Administrator,Authentication Administrator,60,2
"Dynamic group: only member users from Sales OR Marketing, no guests. Which rule is correct? (dept = user.department)","(dept -in [""Sales"",""Marketing""]) -and (userType -eq ""Member"")","dept -eq ""Sales"" -or dept -eq ""Marketing"" -and userType -eq ""Member""","(dept -in [""Sales"",""Marketing""]) -and (objectId -ne null)","(device.department -in [""Sales"",""Marketing""]) -and (userType -eq ""Member"")",60,1
You need a dynamic device group with every Windows hybrid joined device. Which deviceTrustType value do you use?,AzureAD,ServerAD,Workplace,HybridJoined,30,2
Julia gets Office 365 E1 from one group and E3 from another. The E3 assignment errors out; 150 E3 licenses free. Why?,Conflicting service plans (Exchange Plan 1 vs Plan 2),Not enough E3 licenses,Nested groups aren't supported,Her usage location blocks E3,60,1
"Guest invites: only specific admin roles. Carla, no admin role, must invite too. Least privilege role for Carla?",Guest Inviter,User Administrator,Helpdesk Administrator,Change the setting so all members can invite,30,1
Fabrikam guests already did MFA at home and get a 2nd MFA prompt in Contoso. Only Fabrikam should skip it. Where?,"Contoso: Fabrikam organizational settings, inbound trust MFA","Contoso: default settings, inbound trust MFA","Contoso: Fabrikam organizational settings, outbound trust",Fabrikam: inbound settings for Contoso,60,1
Cross-tenant sync Test connection fails: 'The source tenant has not enabled automatic user consent'. What do you do?,"Source: outbound trust, auto redeem invitations",Target: allow user synchronization into this tenant,Target: give source admin Hybrid Identity Administrator,Source: enable outbound B2B direct connect,60,1
PTA with PHS also enabled. Ransomware takes every DC and agent offline. Users can't sign in. Fastest fix?,"Nothing, Entra fails over to PHS automatically","In Entra Connect, switch sign-in method to PHS",Enable Seamless SSO,Deploy new PTA agents in Azure,60,2
"Acquired forest with no connectivity to yours, 8,000 users, HA, minimal on-prem infra. Which tool?",Cloud Sync with three provisioning agents,A connector on the existing Connect Sync server,A second Connect Sync server in active mode,Cross-tenant synchronization,60,1
