Question,Answer 1,Answer 2,Answer 3,Answer 4,Time limit (sec),Correct answer(s)
FuncHR's system-assigned managed identity needs the Graph application permission User.Read.All. How do you grant it?,App registrations: add it and select Grant admin consent,App role assignment from the Graph SP to the identity's SP,Reader Azure role on the subscription,Enterprise applications: add it on the Permissions page,60,2
"Scale set instances are re-created daily. One shared identity, pre-authorized to Key Vault, no secrets. Which identity?",User-assigned managed identity assigned to the scale set,System-assigned managed identity on each instance,App registration with a client secret in app settings,Synced AD user account used as a service account,60,1
GitHub Actions deploys to Azure via app registration Deployer. No secrets or certs stored in GitHub. Which credential?,A client secret with a 24-month expiration,"A certificate, private key kept as a GitHub encrypted secret",A federated credential for GitHub Actions deploying Azure resources,A system-assigned managed identity on the GitHub-hosted runner,60,3
Users can't consent to an unverified app and have no way to ask for it. Enable requests without weakening security?,Change user consent to Allow user consent for apps,Classify the requested permission as low impact,Disable risk-based step-up consent,Turn on the admin consent workflow and select reviewers,60,4
"Marta must publish apps with Application Proxy, create connector groups and set up SAML SSO. Least privilege role?",Cloud Application Administrator,Application Administrator,Application Developer,Global Administrator,60,2
An App Proxy app must use https://expenses.contoso.com. The domain is already verified. What else do you need?,.cer certificate and an A record to the connector's public IP,Only a TXT record; Microsoft provides the certificate,PFX with the private key and a CNAME to the msappproxy.net address,Certificate on the connector server and inbound TCP 443 open,60,3
"Expensely: Assignment required, group Finance assigned, finance-only. Nested Finance-Contractors can't sign in. Fix?",Set Assignment required to No on Expensely,Set Visible to users to Yes on Expensely,Add Finance-Contractors as an owner of Expensely,Assign Finance-Contractors directly to Expensely,60,4
Tokens must carry a claim with value Survey.Create. Admins will grant it to users and groups. What do you configure?,A scope named Survey.Create in Expose an API,A groups claim in Token configuration,"App role (Users/Groups, value Survey.Create), assigned in Enterprise apps",A custom Microsoft Entra directory role named Survey.Create,60,3
"30 days of Palo Alto logs were exported. You need a one-time cloud app assessment, deploying nothing. What do you do?",Create a snapshot report and upload the log files,Deploy a log collector and forward the logs over Syslog,Turn on the Defender for Endpoint integration,Connect the firewall with an app connector,60,1
A Salesforce session policy blocks downloads on unmanaged devices. Users still download. No CA policy targets it. Fix?,Connect Salesforce with an app connector,CA policy for Salesforce with Use Conditional Access App Control,CA policy for Salesforce with Use app enforced restrictions,Tag Salesforce as Sanctioned in the catalog,60,2
